"subway_name","year","train_flow","passenger_flow"
"Myrtle - Wyckoff Avs",2020,2196,573057
"Myrtle - Wyckoff Avs",2017,1984,2739877
"Myrtle Av",2017,1985,1728801
"Myrtle Av",2020,2196,303685
"Neck Rd",2020,2196,392450
"Neck Rd",2017,1981,915157
"Neptune Av",2017,1891,282662
"Neptune Av",2020,2010,100305
"Nereid Av",2017,1896,630858
"Nereid Av",2020,2098,226385
"Nevins St",2017,1984,127972
"Nevins St",2020,2196,-206065
"New Lots Av",2020,4337,-369754
"New Lots Av",2017,3935,168883
"Newkirk Av",2017,1985,835571
"Newkirk Av",2020,2190,316488
"Newkirk Plaza",2017,1964,268850
"Newkirk Plaza",2020,2152,2250
"Northern Blvd",2020,2192,73207
"Northern Blvd",2017,1983,416340
"Norwood - 205 St",2020,2190,144451
"Norwood - 205 St",2017,1954,787011
"Norwood Av",2020,2151,-136906
"Norwood Av",2017,1967,32284
"Nostrand Av",2017,3968,1743398
"Nostrand Av",2020,4389,-367090
"Ocean Pkwy",2020,2196,184954
"Ocean Pkwy",2017,1984,465885
"Ozone Park - Lefferts Blvd",2020,2193,127097
"Ozone Park - Lefferts Blvd",2017,1912,453927
"Park Pl",2020,4362,-67592
"Park Pl",2017,3882,114057
"Parkchester",2017,1985,-96496
"Parkchester",2020,2196,-295960
"Parkside Av",2017,1979,543157
"Parkside Av",2020,2177,127716
"Parsons Blvd",2020,2196,-25249
"Parsons Blvd",2017,1981,172275
"Pelham Bay Park",2020,2196,264306
"Pelham Bay Park",2017,1983,817056
"Pelham Pkwy",2017,3722,1768302
"Pelham Pkwy",2020,4246,509781
"Pennsylvania Av",2017,1802,529092
"Pennsylvania Av",2020,2192,273028
"President St",2020,2186,-127498
"President St",2017,1977,-107014
"Prince St",2020,2153,-199690
"Prince St",2017,1932,239615
"Prospect Av",2017,3334,2068254
"Prospect Av",2020,4327,856738
"Prospect Park",2020,2196,-89494
"Prospect Park",2017,1984,352578
"Queens Plaza",2020,2196,-77782
"Queens Plaza",2017,1985,441304
"Queensboro Plaza",2020,2196,1095233
"Queensboro Plaza",2017,1984,2952744
"Ralph Av",2020,2195,259481
"Ralph Av",2017,1985,897507
"Rector St",2020,4370,499210
"Rector St",2017,3920,2144146
"Rockaway Av",2020,4392,-51171
"Rockaway Av",2017,3927,684506
"Rockaway Blvd",2020,2196,698974
"Rockaway Blvd",2017,1985,1553189
"Rockaway Park - Beach 116 St",2017,1984,-26420
"Rockaway Park - Beach 116 St",2020,2196,-42535
"Roosevelt Island",2020,2196,22518
"Roosevelt Island",2017,1981,263039
"Saratoga Av",2020,2188,-116634
"Saratoga Av",2017,1905,65938
"Seneca Av",2017,1862,15782
"Seneca Av",2020,2152,-13508
"Sheepshead Bay",2017,1959,463744
"Sheepshead Bay",2020,2159,11201
"Shepherd Av",2017,1954,487456
"Shepherd Av",2020,2151,124107
"Simpson St",2020,2196,738826
"Simpson St",2017,1985,2069955
"Smith - 9 Sts",2017,1984,-200389
"Smith - 9 Sts",2020,2196,-286200
"South Ferry",2017,1985,339747
"South Ferry",2020,2196,238604
"Spring St",2017,3956,2476634
"Spring St",2020,4360,663457
"St Lawrence Av",2020,2195,-65635
"St Lawrence Av",2017,1982,117936
"Steinway St",2020,2195,100069
"Steinway St",2017,1984,1207843
"Sterling St",2017,1976,690068
"Sterling St",2020,2177,168167
"Sutphin Blvd",2020,2196,129177
"Sutphin Blvd",2017,1981,496778
"Sutphin Blvd - Archer Av - JFK Airport",2017,1984,1453378
"Sutphin Blvd - Archer Av - JFK Airport",2020,2196,-182609
"Sutter Av",2017,1980,290290
"Sutter Av",2020,2156,-139760
"Sutter Av - Rutland Rd",2017,1180,-24122
"Sutter Av - Rutland Rd",2020,2192,-261006
"Times Sq - 42 St",2017,7848,221279
"Times Sq - 42 St",2020,8691,-1016088
"Tremont Av",2020,2187,317801
"Tremont Av",2017,1966,1180108
"Union St",2017,1984,344669
"Union St",2020,2189,41393
"Utica Av",2020,2196,17500
"Utica Av",2017,1985,1169951
"Van Cortlandt Park - 242 St",2020,2120,503280
"Van Cortlandt Park - 242 St",2017,1892,1237036
"Van Siclen Av",2017,5872,63262
"Van Siclen Av",2020,6512,-245137
"Vernon Blvd - Jackson Av",2020,2196,221844
"Vernon Blvd - Jackson Av",2017,1979,1265050
"W 4 St",2020,2196,-337037
"W 4 St",2017,1985,1061300
"W 8 St - NY Aquarium",2020,2196,51002
"W 8 St - NY Aquarium",2017,1982,157706
"Wakefield - 241 St",2020,2158,-205934
"Wakefield - 241 St",2017,1948,-27373
"Wall St",2020,4392,237910
"Wall St",2017,3953,1492148
"West Farms Sq - E Tremont Av",2020,2196,11431
"West Farms Sq - E Tremont Av",2017,1985,975425
"Westchester Sq - E Tremont Av",2020,2192,-102076
"Westchester Sq - E Tremont Av",2017,1972,201257
"Whitehall St",2020,2191,-90599
"Whitehall St",2017,1974,331272
"Whitlock Av",2020,2196,-83910
"Whitlock Av",2017,1984,-12856
"Wilson Av",2020,2193,-8201
"Wilson Av",2017,1984,131459
"Winthrop St",2020,2158,750694
"Winthrop St",2017,1965,1578155
"Woodhaven Blvd",2020,4387,753952
"Woodhaven Blvd",2017,3969,3709926
"Woodlawn",2017,1972,1627790
"Woodlawn",2020,2177,572142
"Woodside - 61 St",2017,1985,-208308
"Woodside - 61 St",2020,2195,-131405
"York St",2020,2118,363307
"York St",2017,1939,1565949
"Zerega Av",2017,1983,66509
"Zerega Av",2020,2196,-20040
