"neighborhood","borough","population_2017","population_2020","pcinc_change","minc_change","traveltime_change","ur_change"
"Hunts Point","The Bronx",19678,11322,0.222456022220352,0.0730190925525817,-0.0538116591928251,-0.0188679245283018
"Inwood","Manhattan",43004,34867,0.318799173662696,0.357614578678187,0.0260047281323877,-0.580246913580247
"Jackson Heights","Queens",86461,76716,0.198141546841831,0.13637216634139,0.0449999999999999,-0.219512195121951
"Jamaica","Queens",32530.6666666667,32234.6666666667,0.17201109026241,0.174498727419455,0.00285714285714208,-0.201646090534979
"Kew Gardens","Queens",19303,18718,0.210554089709763,0.132844233130766,0.0327868852459016,-0.425
"Kew Gardens Hills","Queens",30235,26501,0.116329554460563,0.139387555954833,0.0221130221130221,0.121212121212121
"Laurelton","Queens",22081,21528,0.169020805497232,0.148578763983129,-0.00591715976331369,-0.26
"Longwood","The Bronx",21290,29651,0.242836676217765,0.0912493597572988,0.0717592592592591,0.375
"Lower East Side","Manhattan",63080,39831,0.378901933701657,0.396215522771007,-0.00586510263929627,-0.297872340425532
"Madison","Brooklyn",32743,32781,0.156051173291373,0.231370620357494,0.0584269662921349,-0.147058823529412
"Mapleton-Flatlands","Brooklyn",58241,56494,0.133774691469075,0.126175153687787,0.0656779661016948,-0.328125
"Mariners Harbor","Staten Island",23256,25020,0.109772365420199,0.191469563157717,-0.021978021978022,-0.21875
"Maspeth","Queens",23667,34167,0.1010817463402,0.213880929640242,0.0414634146341464,-0.227272727272727
"Middle Village","Queens",31684,28510,0.0854817218005909,0.119789788956987,0.0922693266832917,-0.333333333333333
"Midland Beach","Staten Island",17282,22689,0.0884963660193018,0.069535656339334,0.105911330049261,-0.129032258064516
"Midwood","Brooklyn",40368,36954,0.125216387766878,0.269818447143654,0.0680628272251307,-0.358490566037736
"Morningside Heights","Manhattan",47336,33815,0.0152500722752241,0.0514764878939005,-0.0423452768729642,-0.0857142857142857
"Morris Park","The Bronx",22731,18531,0.616125035738111,0.471783835485414,-0.05,-0.461538461538461
"Mott Haven","The Bronx",35362,39378,0.129402098816148,-0.00368268272605173,0.00595947556615018,-0.0140845070422535
"Mount Hope","The Bronx",40169,35447,0.218849959086513,0.299529183170167,0.0611246943765281,-0.275862068965517
"Murray Hill","Manhattan",43655,51926,0.175228629782363,0.237301595594612,0.0551181102362206,-0.178571428571429
"Murray Hill","Queens",44665,45802,0.0756214667389453,0.0130965467571358,0.044776119402985,-0.342857142857143
"New Brighton","Staten Island",19583.5,21267,0.173392606943315,0.0566008153026027,0.0634547591069331,-0.385542168674699
"Norwood","The Bronx",32074,31191,0.144221528111485,0.114674651191505,0.0335570469798658,-0.25
"Oakwood","Staten Island",17332,17150,0.0259470259470259,0.0417382797006796,-0.0109170305676856,-0.216216216216216
"Ocean Hill","Brooklyn",25716,28351,0.18971457958344,0.163028228295639,-0.0132450331125827,-0.45
"Ozone Park","Queens",18662,19413,0.0988119044818257,0.128224831020989,0.0894495412844036,-0.363636363636364
"Park Slope","Brooklyn",60537,47113,0.218726766476668,0.301245374886844,0.0367454068241469,-0.27027027027027
"Parkchester","The Bronx",24963,24791,0.121095455447509,0.0890698688225736,0.0683229813664597,-0.383720930232558
"Port Richmond","Staten Island",15378,14228,-0.0547068858560794,-0.068416240234845,0.0024213075060533,0.12
"Prospect Heights","Brooklyn",17456,18746,0.265229943180773,0.289610491685474,-0.0725,-0.232558139534884
"Prospect Lefferts Gardens-Wingate","Brooklyn",55671,38927,0.378354737386187,0.325422559503277,0.0252293577981652,-0.253731343283582
"Queens Village","Queens",45828,45712,0.14833729216152,0.170513544018059,0.0313807531380753,-0.256410256410256
"Queensboro Hill","Queens",18082,16632,0.228538888625255,0.0569429494079656,0.0649651972157772,-0.404761904761905
"Rego Park","Queens",24163,23888,0.163072896529162,0.185769651888284,0.0330969267139481,-0.371428571428571
"Ridgewood","Queens",57860,58005,0.176688515246509,0.291711479171148,0.0962025316455696,-0.325581395348837
"Rosebank","Staten Island",20812,18520,0.101220891679994,0.0881965361445783,0.170673076923077,0.256410256410257
"Rosedale","Queens",21978,22152,0.127026650894162,0.046846805163559,0.0376984126984127,-0.0454545454545455
"Rossville","Staten Island",17061,24319,-0.0123447184833632,0.0140677693913602,0.0239130434782609,0.32
"Soho","Manhattan",36989,20452,-0.167136616529329,-0.185303934625693,0.0192307692307692,-0.4
"Soundview","The Bronx",36418,40134,0.185538149979153,0.136128055772141,0.0155902004454344,-0.258278145695364
"South Beach","Staten Island",20610,29089,0.246052440967695,0.167015183198473,0.0933014354066987,-0.0606060606060605
"South Ozone Park","Queens",69511,66787,0.229043470410328,0.274536719286205,0.0148619957537154,-0.347222222222222
"Springfield Gardens","Queens",19683.5,20881.5,0.151178542400433,0.172576998050682,-0.00199203187250999,-0.466666666666667
"Spuyten Duyvil","The Bronx",25714,37848,0.370422535211268,0.376701174828429,0.0588235294117646,-0.189189189189189
"St. Albans","Queens",43580,42097,0.185175335283614,0.143522598514415,-0.0318725099601594,-0.461538461538462
"Steinway","Queens",41838,40668,0.157761226252159,0.214024494623321,0.0745501285347043,-0.454545454545455
