"sname","nname_within_50"
"Prospect Ave","Greenwood"
"Prospect Ave","Park Slope"
"Prospect Ave","South Bronx"
"Queens Plz","Astoria-Long Island City"
"Queens Plz","Sunny Side"
"Queensboro Plz","Astoria-Long Island City"
"Queensboro Plz","Sunny Side"
"Ralph Ave","Bedford-Stuyvesant"
"Rector St","Financial District"
"Richmond Valley","Charlestown-Richmond Valley"
"Rockaway Ave","Bedford-Stuyvesant"
"Rockaway Ave","Brownsville"
"Rockaway Blvd","Woodhaven-Richmond Hill"
"Rockaway Park","The Rockaways"
"Rockaway Pky","Canarsie"
"Saratoga Ave","Brownsville"
"Seneca Ave","Ridgewood"
"Sheepshead Bay","Gravesend-Sheepshead Bay"
"Shepherd Ave","East Brooklyn"
"Simpson St","South Bronx"
"Smith St","Carroll Gardens"
"Sound View Ave","Soundview"
"South Ferry","Financial District"
"Spring St","Little Italy"
"Spring St","Soho"
"St George","New Brighton"
"St Lawrence Ave","Soundview"
"Stapleton","Clifton"
"Steinway St","Astoria-Long Island City"
"Sutphin Blvd","Jamaica"
"Sutphin Blvd","Utopia"
"Sutter Ave","Brownsville"
"Times Sq","Garment District"
"Times Sq","Midtown"
"Tompkinsville","Clifton"
"Tottenville","Tottensville"
"Tremont Ave","Morris Heights"
"Tremont Ave","Tremont"
"Union Sq","Gramercy"
"Union Sq","Greenwich Village"
"Union St","Carroll Gardens"
"Union St","Park Slope"
"Union Tpke","Nkew Gardens"
"Utica Ave","Bedford-Stuyvesant"
"Van Siclen Ave","East Brooklyn"
"Van Wyck","Jamaica"
"Van Wyck","Woodhaven-Richmond Hill"
"Van Wyck Blvd","Nkew Gardens"
"Van Wyck Blvd","Utopia"
"Vernon Blvd","Sunny Side"
"W 4th St","Greenwich Village"
"Wall St","Financial District"
"Westchester Sq","Parkchester"
"Westchester Sq","Union Port"
"Whitehall St","Financial District"
"Whitlock Ave","Hunts Point"
"Whitlock Ave","South Bronx"
"Willets Point Blvd","Flushing"
"Wilson Ave","Bushwick"
"Woodhaven Blvd","Woodhaven-Richmond Hill"
"Woodlawn","Woodlawn-Nordwood"
"World Trade Center","Financial District"
"Wyckoff Ave","Bushwick"
"Wyckoff Ave","Ridgewood"
"York St","Williamsburg"
"Zerega Ave","Parkchester"
"Zerega Ave","Union Port"
